latitude,longitude,DIFF_BLE_A1_A5,DIFF_BLE_A1_A3,A5_BLE_max,A5_WIFI_max,A3_BLE_max,A3_WIFI_max,DIFF_LORA_A1_A3,A5_BLE_mean,A5_WIFI_mean,A3_WIFI_mean,A3_BLE_mean,A5_WIFI_min,A5_BLE_min,A2_BLE_max,A3_WIFI_min,A3_BLE_min,A2_BLE_mean,A2_WIFI_max,A3_LORA_max,A2_BLE_min,A4_BLE_max,DIFF_LORA_A2_A3,A2_WIFI_mean,DIFF_LORA_A3_A5,A3_LORA_mean,A2_WIFI_min,A4_BLE_mean,A1_WIFI_max,DIFF_LORA_A3_A4,A1_BLE_max,A1_LORA_count,A4_WIFI_max,A1_WIFI_mean,A4_BLE_min,A3_LORA_min,A4_WIFI_mean,A1_WIFI_min,A1_BLE_mean,DIFF_LORA_A1_A5,A1_LORA_max,DIFF_LORA_A1_A2,A1_LORA_snr_mean,A4_WIFI_min,A1_BLE_min,DIFF_LORA_A1_A4,DIFF_BLE_A3_A5,A3_LORA_snr_mean,A1_LORA_mean,A5_LORA_max,DIFF_LORA_A2_A5,A5_LORA_mean,A4_LORA_snr_mean,A4_LORA_max,A5_LORA_count,DIFF_LORA_A2_A4,A5_LORA_snr_mean,A5_LORA_min,A4_LORA_mean,A2_LORA_max,A3_LORA_count,A3_BLE_count,A1_LORA_min,A4_LORA_count,A5_BLE_count,A2_LORA_snr_mean,A2_LORA_mean,A3_WIFI_count,A2_LORA_min,A2_BLE_count,DIFF_LORA_A4_A5,A5_WIFI_count,A4_LORA_min,A4_BLE_count,A1_LORA_std,A1_BLE_count,A3_BLE_std,A2_WIFI_count,A5_BLE_std,A4_WIFI_count,A1_LORA_snr_std,A1_WIFI_count,A3_LORA_snr_std,A3_WIFI_std,A2_BLE_std,A5_WIFI_std,A4_BLE_std,A1_BLE_std,A4_LORA_std,A4_LORA_snr_std,A1_WIFI_std,A3_LORA_std,A5_LORA_std,A2_LORA_count,A5_LORA_snr_std,A1_LORA_rate,A2_LORA_snr_std,A5_LORA_rate,A3_LORA_rate,A4_LORA_rate,A2_LORA_rate
12.84216,80.15419,-32.8,-41.125,-86.0,-87.0,-73.0,-73.0,-42.06666666666666,-87.2,-88.4,-78.77777777777777,-78.875,-90.0,-88.0,-90.0,-87.0,-84.0,-91.5,-120.0,-70,-93.0,-120.0,-42.06666666666666,-120.0,38.9128205128205,-77.93333333333334,-120.0,-120.0,-120.0,40.06666666666666,-120.0,0.0,-120.0,-120.0,-120.0,-90,-120.0,-120.0,-120.0,-3.1538461538461604,-120.0,0.0,-20.0,-120.0,-120.0,-2.0,8.325000000000003,12.296296296296296,-120.0,-113.0,-3.1538461538461604,-116.84615384615384,-11.6875,-118.0,13.0,-2.0,-10.517857142857142,-119.0,-118.0,-120.0,30,8.0,-120.0,3.0,5.0,-20.0,-120.0,9.0,-120.0,2.0,-1.1538461538461604,5.0,-118.0,0.0,0.0,0.0,4.223657859520077,0.0,1.0954451150103321,0.0,0.0,0.0,0.5327587717080863,4.409585518440984,2.1213203435596424,1.140175425099138,0.0,0.0,0.0,0.5543389456520863,0.0,5.508196609150536,1.6756169931378433,0.0,1.9151829740721447,0.0,0.0,0.43333333333333335,1.0,0.1,0.0
12.84224,80.15419,-33.57142857142857,-43.16666666666667,-84.0,-79.0,-72.0,-71.0,-41.33333333333333,-86.42857142857143,-83.0,-77.375,-76.83333333333333,-86.0,-90.0,-90.0,-85.0,-82.0,-90.66666666666667,-86.0,-70,-92.0,-95.0,-41.33333333333333,-86.0,38.04761904761904,-78.66666666666667,-86.0,-95.0,-120.0,41.33333333333333,-120.0,0.0,-120.0,-120.0,-95.0,-90,-120.0,-120.0,-120.0,-3.285714285714292,-120.0,0.0,-20.0,-120.0,-120.0,0.0,9.595238095238102,12.336538461538462,-120.0,-115.0,-3.285714285714292,-116.71428571428571,-20.0,-120.0,7.0,0.0,-9.46875,-120.0,-120.0,-120.0,30,6.0,-120.0,0.0,7.0,-20.0,-120.0,8.0,-120.0,6.0,-3.285714285714292,5.0,-120.0,1.0,0.0,0.0,3.488074922742725,1.0,2.370453040886408,0.0,0.0,0.0,0.3670307050663997,4.926241685388278,0.816496580927726,3.3166247903554,0.0,0.0,0.0,0.0,0.0,5.247878608071787,1.8898223650461359,0.0,2.561519847389715,0.0,0.0,0.23333333333333334,1.0,0.0,0.0
12.84231,80.1542,-33.0,-33.33333333333333,-84.0,-83.0,-83.0,-77.0,-38.34615384615384,-87.0,-86.66666666666667,-82.0,-86.66666666666667,-89.0,-91.0,-93.0,-87.0,-90.0,-94.0,-120.0,-76,-96.0,-87.0,-38.34615384615384,-120.0,32.59615384615384,-81.65384615384616,-120.0,-90.75,-120.0,35.34615384615384,-120.0,0.0,-86.0,-120.0,-93.0,-89,-88.0,-120.0,-120.0,-5.75,-120.0,0.0,-20.0,-90.0,-120.0,-3.0,0.3333333333333286,12.173076923076923,-120.0,-111.0,-5.75,-114.25,-11.75,-116.0,8.0,-3.0,-8.59375,-118.0,-117.0,-120.0,26,6.0,-120.0,2.0,4.0,-20.0,-120.0,7.0,-120.0,3.0,-2.75,3.0,-118.0,4.0,0.0,0.0,3.011090610836324,0.0,2.943920288775949,3.0,0.0,0.0,0.658669988572543,3.7416573867739413,1.7320508075688772,3.214550253664318,2.8722813232690143,0.0,1.4142135623730951,0.7071067811865476,0.0,3.7088252338691583,2.5495097567963922,0.0,2.481853785839471,0.0,0.0,0.26666666666666666,0.8666666666666667,0.06666666666666667,0.0
12.84239,80.15419,-6.333333333333329,-8.5,-88.0,-89.0,-81.0,-82.0,-35.13333333333334,-88.66666666666667,-89.33333333333333,-86.28571428571429,-86.5,-90.0,-89.0,-92.0,-90.0,-92.0,-92.0,-120.0,-76,-92.0,-84.0,-35.13333333333334,-120.0,28.607017543859655,-84.86666666666666,-120.0,-86.16666666666667,-120.0,35.13333333333334,-95.0,0.0,-83.0,-120.0,-88.0,-97,-86.0,-120.0,-95.0,-6.526315789473685,-120.0,0.0,-20.0,-89.0,-95.0,0.0,2.1666666666666714,11.910714285714286,-120.0,-110.0,-6.526315789473685,-113.47368421052632,-20.0,-120.0,19.0,0.0,-9.907894736842104,-117.0,-120.0,-120.0,30,8.0,-120.0,0.0,3.0,-20.0,-120.0,7.0,-120.0,1.0,-6.526315789473685,3.0,-120.0,6.0,0.0,1.0,4.174754056057845,0.0,0.5773502691896257,6.0,0.0,0.0,1.011998128279006,3.302235894778249,0.0,0.5773502691896257,1.4719601443879746,0.0,0.0,0.0,0.0,5.0016089365346215,1.9255135260966845,0.0,1.7603079874062708,0.0,0.0,0.6333333333333333,1.0,0.0,0.0
12.84247,80.15417,2.0,-1.8333333333333286,-96.0,-120.0,-88.0,-85.0,-32.0,-96.0,-120.0,-86.0,-92.16666666666667,-120.0,-96.0,-89.0,-87.0,-97.0,-92.66666666666667,-120.0,-81,-97.0,-83.0,-32.0,-120.0,25.148148148148152,-88.0,-120.0,-88.33333333333333,-120.0,32.0,-94.0,0.0,-82.0,-120.0,-93.0,-98,-83.16666666666667,-120.0,-94.0,-6.851851851851848,-120.0,0.0,-20.0,-85.0,-94.0,0.0,3.8333333333333286,11.76,-120.0,-108.0,-6.851851851851848,-113.14814814814815,-20.0,-120.0,27.0,0.0,-6.814814814814815,-118.0,-120.0,-120.0,27,6.0,-120.0,0.0,1.0,-20.0,-120.0,3.0,-120.0,3.0,-6.851851851851848,0.0,-120.0,6.0,0.0,1.0,3.6009258068817065,0.0,0.0,6.0,0.0,0.0,1.0593826818797194,1.0,4.041451884327381,0.0,3.777124126457412,0.0,0.0,0.0,0.0,4.657500154837109,3.0217634141431606,0.0,3.3430414185178625,0.0,0.0,0.9,0.9,0.0,0.0
12.84255,80.15415,-28.0,-28.75,-90.0,-88.0,-90.0,-85.0,-24.724137931034477,-92.0,-89.5,-88.0,-91.25,-91.0,-94.0,-120.0,-91.0,-92.0,-120.0,-120.0,-88,-120.0,-83.0,-24.724137931034477,-120.0,17.41644562334217,-95.27586206896552,-120.0,-85.0,-120.0,18.724137931034477,-120.0,0.0,-84.0,-120.0,-90.0,-103,-86.5,-120.0,-120.0,-7.307692307692307,-120.0,0.0,-20.0,-88.0,-120.0,-6.0,0.75,8.431034482758621,-120.0,-108.0,-7.307692307692307,-112.6923076923077,-8.821428571428571,-112.0,26.0,-6.0,-6.8173076923076925,-118.0,-114.0,-120.0,29,4.0,-120.0,7.0,3.0,-20.0,-120.0,2.0,-120.0,0.0,-1.3076923076923066,4.0,-116.0,7.0,0.0,0.0,0.9574271077563381,0.0,2.0,4.0,0.0,0.0,1.8211267015378658,4.242640687119285,0.0,1.2909944487358056,2.6457513110645907,0.0,1.7320508075688772,1.699964985633808,0.0,3.431956457059546,2.867322524854583,0.0,3.423855788659689,0.0,0.0,0.8666666666666667,0.9666666666666667,0.23333333333333334,0.0
12.84262,80.15413,-7.125,-2.5,-83.0,-80.0,-90.0,-91.0,-24.700000000000003,-87.875,-85.66666666666667,-91.0,-92.5,-90.0,-93.0,-120.0,-91.0,-95.0,-120.0,-120.0,-86,-120.0,-78.0,-27.700000000000003,-120.0,19.939999999999998,-92.3,-120.0,-84.55555555555556,-92.0,23.700000000000003,-95.0,1.0,-84.0,-92.0,-91.0,-99,-85.57142857142857,-92.0,-95.0,-4.760000000000005,-117.0,3.0,-9.5,-88.0,-95.0,-1.0,-4.625,10.112068965517242,-117.0,-107.0,-7.760000000000005,-112.24,-10.25,-114.0,25.0,-4.0,-6.38,-117.0,-116.0,-120.0,30,4.0,-117.0,3.0,8.0,-20.0,-120.0,2.0,-120.0,0.0,-3.760000000000005,6.0,-119.0,9.0,0.0,1.0,2.3804761428476167,0.0,3.6815175442433286,7.0,0.0,1.0,1.4783953156580298,0.0,0.0,3.6147844564602556,3.7785946829182113,0.0,2.6457513110645907,2.6457513110645907,0.0,3.3952299195925675,2.50466231922256,0.0,2.6693866336669925,0.03333333333333333,0.0,0.8333333333333334,1.0,0.1,0.0
12.84269,80.15411,-7.428571428571431,25.0,-85.0,-80.0,-120.0,-92.0,-20.13333333333334,-87.57142857142857,-86.5,-92.0,-120.0,-92.0,-90.0,-94.0,-92.0,-120.0,-94.0,-90.0,-89,-94.0,-80.0,-23.13333333333334,-91.33333333333333,17.522222222222226,-96.86666666666666,-92.0,-86.0,-120.0,16.63333333333334,-95.0,1.0,-82.0,-120.0,-93.0,-104,-87.57142857142857,-120.0,-95.0,-2.6111111111111143,-117.0,3.0,-11.5,-94.0,-95.0,-3.5,-32.42857142857143,7.366666666666666,-117.0,-110.0,-5.611111111111114,-114.38888888888889,-7.825,-110.0,18.0,-6.5,-8.541666666666666,-119.0,-113.5,-120.0,30,0.0,-117.0,20.0,7.0,-20.0,-120.0,1.0,-120.0,3.0,0.8888888888888857,8.0,-117.0,7.0,0.0,1.0,0.0,3.0,1.9023794624226835,7.0,0.0,0.0,2.8213573809895776,0.0,0.0,4.7207747548166585,5.033222956847166,0.0,2.1884866196096624,2.0996553601910355,0.0,4.0491236457844275,2.6377104351822394,0.0,2.7842123186449195,0.03333333333333333,0.0,0.6,1.0,0.6666666666666666,0.0
12.84277,80.15409,-29.200000000000003,0.0,-88.0,-85.0,-120.0,-91.0,-23.5,-90.8,-89.75,-91.0,-120.0,-93.0,-95.0,-93.0,-91.0,-120.0,-94.0,-88.0,-91,-95.0,-73.0,-25.0,-88.0,17.83333333333333,-95.0,-88.0,-81.42857142857143,-120.0,11.375,-120.0,2.0,-75.0,-120.0,-89.0,-100,-81.375,-120.0,-120.0,-5.666666666666671,-118.0,1.5,-11.5,-88.0,-120.0,-12.125,-29.200000000000003,8.972222222222221,-118.5,-106.0,-7.166666666666671,-112.83333333333333,-0.4166666666666667,-100.0,18.0,-13.625,-6.833333333333333,-117.0,-106.375,-120.0,26,0.0,-119.0,24.0,5.0,-20.0,-120.0,1.0,-120.0,2.0,6.458333333333329,4.0,-112.0,7.0,0.7071067811865476,0.0,0.0,1.0,2.7748873851023217,8.0,0.3535533905932738,0.0,1.5494002148060473,0.0,1.4142135623730951,3.593976442141304,5.19156825558337,0.0,3.7741972944443836,3.5090462802735236,0.0,2.3664319132398464,3.502100210210002,0.0,3.5542021525479486,0.06666666666666667,0.0,0.6,0.8666666666666667,0.8,0.0
12.84284,80.15405,-4.75,27.25,-84.0,-85.0,-120.0,-91.0,-18.896551724137936,-88.0,-89.0,-91.0,-120.0,-92.0,-93.0,-96.0,-91.0,-120.0,-96.0,-120.0,-95,-96.0,-64.0,-18.896551724137936,-120.0,12.174329501915707,-101.10344827586206,-120.0,-74.25,-120.0,1.4891443167305312,-92.0,0.0,-66.0,-120.0,-88.0,-108,-75.5,-120.0,-92.75,-6.7222222222222285,-120.0,0.0,-20.0,-88.0,-94.0,-17.407407407407405,-32.0,4.027777777777778,-120.0,-110.0,-6.7222222222222285,-113.27777777777777,1.8055555555555556,-95.0,18.0,-17.407407407407405,-8.333333333333334,-117.0,-102.5925925925926,-120.0,29,0.0,-120.0,27.0,7.0,-20.0,-120.0,1.0,-120.0,1.0,10.685185185185176,6.0,-114.0,8.0,0.0,4.0,0.0,0.0,3.4641016151377544,8.0,0.0,0.0,2.239648553015772,0.0,0.0,2.756809750418044,7.796519369931321,0.9574271077563381,6.1535434398480415,5.947419177407531,0.0,3.2441686981215883,2.4448157769056005,0.0,2.3168183050950564,0.0,0.0,0.6,0.9666666666666667,0.9,0.0
