latitude,longitude,DIFF_BLE_A1_A5,DIFF_BLE_A1_A3,A5_BLE_max,A5_WIFI_max,A3_BLE_max,A3_WIFI_max,DIFF_LORA_A1_A3,A5_BLE_mean,A5_WIFI_mean,A3_WIFI_mean,A3_BLE_mean,A5_WIFI_min,A5_BLE_min,A2_BLE_max,A3_WIFI_min,A3_BLE_min,A2_BLE_mean,A2_WIFI_max,A3_LORA_max,A2_BLE_min,A4_BLE_max,DIFF_LORA_A2_A3,A2_WIFI_mean,DIFF_LORA_A3_A5,A3_LORA_mean,A2_WIFI_min,A4_BLE_mean,A1_WIFI_max,DIFF_LORA_A3_A4,A1_BLE_max,A1_LORA_count,A4_WIFI_max,A1_WIFI_mean,A4_BLE_min,A3_LORA_min,A4_WIFI_mean,A1_WIFI_min,A1_BLE_mean,DIFF_LORA_A1_A5,A1_LORA_max,DIFF_LORA_A1_A2,A1_LORA_snr_mean,A4_WIFI_min,A1_BLE_min,DIFF_LORA_A1_A4,DIFF_BLE_A3_A5,A3_LORA_snr_mean,A1_LORA_mean,A5_LORA_max,DIFF_LORA_A2_A5,A5_LORA_mean,A4_LORA_snr_mean,A4_LORA_max,A5_LORA_count,DIFF_LORA_A2_A4,A5_LORA_snr_mean,A5_LORA_min,A4_LORA_mean,A2_LORA_max,A3_LORA_count,A3_BLE_count,A1_LORA_min,A4_LORA_count,A5_BLE_count,A2_LORA_snr_mean,A2_LORA_mean,A3_WIFI_count,A2_LORA_min,A2_BLE_count,DIFF_LORA_A4_A5,A5_WIFI_count,A4_LORA_min,A4_BLE_count,A1_LORA_std,A1_BLE_count,A3_BLE_std,A2_WIFI_count,A5_BLE_std,A4_WIFI_count,A1_LORA_snr_std,A1_WIFI_count,A3_LORA_snr_std,A3_WIFI_std,A2_BLE_std,A5_WIFI_std,A4_BLE_std,A1_BLE_std,A4_LORA_std,A4_LORA_snr_std,A1_WIFI_std,A3_LORA_std,A5_LORA_std,A2_LORA_count,A5_LORA_snr_std,A1_LORA_rate,A2_LORA_snr_std,A5_LORA_rate,A3_LORA_rate,A4_LORA_rate,A2_LORA_rate
12.84216,80.15419,-32.8,-41.125,-86.0,-87.0,-73.0,-73.0,-42.06666666666666,-87.2,-88.4,-78.77777777777777,-78.875,-90.0,-88.0,-90.0,-87.0,-84.0,-91.5,-120.0,-70,-93.0,-120.0,-42.06666666666666,-120.0,38.9128205128205,-77.93333333333334,-120.0,-120.0,-120.0,40.06666666666666,-120.0,0.0,-120.0,-120.0,-120.0,-90,-120.0,-120.0,-120.0,-3.1538461538461604,-120.0,0.0,-20.0,-120.0,-120.0,-2.0,8.325000000000003,12.296296296296296,-120.0,-113.0,-3.1538461538461604,-116.84615384615384,-11.6875,-118.0,13.0,-2.0,-10.517857142857142,-119.0,-118.0,-120.0,30,8.0,-120.0,3.0,5.0,-20.0,-120.0,9.0,-120.0,2.0,-1.1538461538461604,5.0,-118.0,0.0,0.0,0.0,4.223657859520077,0.0,1.095445115010332,0.0,0.0,0.0,0.5327587717080863,4.409585518440984,2.1213203435596424,1.140175425099138,0.0,0.0,0.0,0.5543389456520863,0.0,5.508196609150536,1.6756169931378433,0.0,1.9151829740721449,0.0,0.0,0.4333333333333333,1.0,0.1,0.0
12.84224,80.15419,-33.57142857142857,-43.16666666666667,-84.0,-79.0,-72.0,-71.0,-41.33333333333333,-86.42857142857143,-83.0,-77.375,-76.83333333333333,-86.0,-90.0,-90.0,-85.0,-82.0,-90.66666666666669,-86.0,-70,-92.0,-95.0,-41.33333333333333,-86.0,38.04761904761904,-78.66666666666667,-86.0,-95.0,-120.0,41.33333333333333,-120.0,0.0,-120.0,-120.0,-95.0,-90,-120.0,-120.0,-120.0,-3.285714285714292,-120.0,0.0,-20.0,-120.0,-120.0,0.0,9.595238095238102,12.336538461538462,-120.0,-115.0,-3.285714285714292,-116.71428571428572,-20.0,-120.0,7.0,0.0,-9.46875,-120.0,-120.0,-120.0,30,6.0,-120.0,0.0,7.0,-20.0,-120.0,8.0,-120.0,6.0,-3.285714285714292,5.0,-120.0,1.0,0.0,0.0,3.488074922742725,1.0,2.370453040886408,0.0,0.0,0.0,0.3670307050663997,4.926241685388278,0.816496580927726,3.3166247903554,0.0,0.0,0.0,0.0,0.0,5.247878608071787,1.889822365046136,0.0,2.561519847389715,0.0,0.0,0.2333333333333333,1.0,0.0,0.0
12.84269,80.15411,-7.428571428571431,25.0,-85.0,-80.0,-120.0,-92.0,-20.13333333333334,-87.57142857142857,-86.5,-92.0,-120.0,-92.0,-90.0,-94.0,-92.0,-120.0,-94.0,-90.0,-89,-94.0,-80.0,-23.13333333333334,-91.33333333333331,17.522222222222226,-96.86666666666666,-92.0,-86.0,-120.0,16.63333333333334,-95.0,1.0,-82.0,-120.0,-93.0,-104,-87.57142857142857,-120.0,-95.0,-2.6111111111111143,-117.0,3.0,-11.5,-94.0,-95.0,-3.5,-32.42857142857143,7.366666666666666,-117.0,-110.0,-5.611111111111114,-114.38888888888889,-7.825,-110.0,18.0,-6.5,-8.541666666666666,-119.0,-113.5,-120.0,30,0.0,-117.0,20.0,7.0,-20.0,-120.0,1.0,-120.0,3.0,0.8888888888888857,8.0,-117.0,7.0,0.0,1.0,0.0,3.0,1.9023794624226835,7.0,0.0,0.0,2.8213573809895776,0.0,0.0,4.7207747548166585,5.033222956847166,0.0,2.1884866196096624,2.0996553601910355,0.0,4.049123645784428,2.63771043518224,0.0,2.7842123186449195,0.0333333333333333,0.0,0.6,1.0,0.6666666666666666,0.0
12.84277,80.15409,-29.200000000000003,0.0,-88.0,-85.0,-120.0,-91.0,-23.5,-90.8,-89.75,-91.0,-120.0,-93.0,-95.0,-93.0,-91.0,-120.0,-94.0,-88.0,-91,-95.0,-73.0,-25.0,-88.0,17.83333333333333,-95.0,-88.0,-81.42857142857143,-120.0,11.375,-120.0,2.0,-75.0,-120.0,-89.0,-100,-81.375,-120.0,-120.0,-5.666666666666671,-118.0,1.5,-11.5,-88.0,-120.0,-12.125,-29.200000000000003,8.972222222222221,-118.5,-106.0,-7.166666666666671,-112.83333333333331,-0.4166666666666667,-100.0,18.0,-13.625,-6.833333333333333,-117.0,-106.375,-120.0,26,0.0,-119.0,24.0,5.0,-20.0,-120.0,1.0,-120.0,2.0,6.458333333333329,4.0,-112.0,7.0,0.7071067811865476,0.0,0.0,1.0,2.7748873851023217,8.0,0.3535533905932738,0.0,1.5494002148060473,0.0,1.4142135623730951,3.593976442141304,5.19156825558337,0.0,3.774197294444384,3.509046280273524,0.0,2.3664319132398464,3.502100210210002,0.0,3.5542021525479486,0.0666666666666666,0.0,0.6,0.8666666666666667,0.8,0.0
12.84284,80.15405,-4.75,27.25,-84.0,-85.0,-120.0,-91.0,-18.896551724137936,-88.0,-89.0,-91.0,-120.0,-92.0,-93.0,-96.0,-91.0,-120.0,-96.0,-120.0,-95,-96.0,-64.0,-18.896551724137936,-120.0,12.174329501915707,-101.10344827586206,-120.0,-74.25,-120.0,1.4891443167305312,-92.0,0.0,-66.0,-120.0,-88.0,-108,-75.5,-120.0,-92.75,-6.7222222222222285,-120.0,0.0,-20.0,-88.0,-94.0,-17.407407407407405,-32.0,4.027777777777778,-120.0,-110.0,-6.7222222222222285,-113.27777777777776,1.805555555555556,-95.0,18.0,-17.407407407407405,-8.333333333333334,-117.0,-102.5925925925926,-120.0,29,0.0,-120.0,27.0,7.0,-20.0,-120.0,1.0,-120.0,1.0,10.685185185185176,6.0,-114.0,8.0,0.0,4.0,0.0,0.0,3.4641016151377544,8.0,0.0,0.0,2.239648553015772,0.0,0.0,2.756809750418044,7.796519369931321,0.957427107756338,6.1535434398480415,5.947419177407531,0.0,3.2441686981215883,2.4448157769056005,0.0,2.3168183050950564,0.0,0.0,0.6,0.9666666666666668,0.9,0.0
12.8429,80.154,-7.571428571428569,-2.0,-81.0,-78.0,-93.0,-120.0,-11.39285714285714,-87.42857142857143,-84.0,-120.0,-93.0,-89.0,-97.0,-120.0,-120.0,-93.0,-120.0,-120.0,-95,-120.0,-74.0,-15.39285714285714,-120.0,9.39285714285714,-104.60714285714286,-120.0,-84.66666666666667,-91.0,5.131987577639748,-95.0,4.0,-77.0,-91.0,-95.0,-111,-81.83333333333333,-91.0,-95.0,-2.0,-115.0,4.0,-10.875,-88.0,-95.0,-6.260869565217391,-5.571428571428569,0.5892857142857143,-116.0,-110.0,-6.0,-114.0,-4.434782608695652,-102.0,18.0,-10.26086956521739,-8.61111111111111,-119.0,-109.7391304347826,-120.0,28,1.0,-117.0,23.0,7.0,-20.0,-120.0,0.0,-120.0,0.0,4.260869565217391,6.0,-117.0,6.0,0.816496580927726,1.0,0.0,0.0,5.563486402641868,6.0,1.299038105676658,1.0,3.9844688558818055,0.0,0.0,4.09878030638384,8.547904226573124,0.0,4.329784702860239,4.321732469913192,0.0,4.23686891478344,2.3514701283890216,0.0,2.616719744684597,0.1333333333333333,0.0,0.6,0.9333333333333332,0.7666666666666667,0.0
12.84275,80.15404,-8.666666666666671,1.0,-82.0,-83.0,-91.0,-92.0,-21.39285714285714,-83.33333333333333,-86.83333333333333,-92.0,-93.0,-92.0,-84.0,-92.0,-92.0,-95.0,-92.0,-120.0,-91,-92.0,-75.0,-22.39285714285714,-120.0,14.42857142857143,-97.60714285714286,-120.0,-81.125,-120.0,8.65372670807453,-90.0,2.0,-75.0,-120.0,-89.0,-109,-78.0,-120.0,-92.0,-6.964285714285708,-119.0,1.0,-12.0,-82.0,-94.0,-12.73913043478261,-9.666666666666671,7.416666666666667,-119.0,-107.0,-7.964285714285708,-112.03571428571428,-0.0543478260869565,-101.0,28.0,-13.73913043478261,-5.741071428571429,-117.0,-106.2608695652174,-120.0,28,2.0,-119.0,23.0,3.0,-20.0,-120.0,1.0,-120.0,1.0,5.774844720496901,6.0,-114.0,8.0,0.0,2.0,2.8284271247461903,0.0,1.1547005383792517,6.0,0.7071067811865476,0.0,2.820767762370871,0.0,0.0,3.4302575219167823,4.703721930556695,2.8284271247461903,3.7076994987623433,3.3019936485911003,0.0,4.763590971294549,2.728208513497766,0.0,2.837808673745126,0.0666666666666666,0.0,0.9333333333333332,0.9333333333333332,0.7666666666666667,0.0
12.8427,80.15406,-10.0,-1.0,-82.0,-80.0,-89.0,-88.0,-27.172413793103445,-83.0,-84.28571428571429,-90.0,-92.0,-89.0,-84.0,-92.0,-92.0,-94.0,-92.0,-90.0,-85,-92.0,-82.0,-27.172413793103445,-91.0,12.468710089399735,-92.82758620689656,-92.0,-85.85714285714286,-120.0,16.119782214156075,-93.0,0.0,-85.0,-120.0,-92.0,-104,-85.8,-120.0,-93.0,-14.70370370370371,-120.0,0.0,-20.0,-87.0,-93.0,-11.05263157894737,-9.0,10.692307692307692,-120.0,-82.0,-14.70370370370371,-105.29629629629628,-2.5,-100.0,27.0,-11.05263157894737,0.9017857142857144,-118.0,-108.94736842105264,-120.0,29,7.0,-120.0,19.0,5.0,-20.0,-120.0,2.0,-120.0,1.0,-3.65107212475634,7.0,-116.0,7.0,0.0,1.0,2.160246899469287,2.0,1.0,5.0,0.0,0.0,1.5121304380040967,2.8284271247461903,0.0,3.638419332360584,3.625307868699863,0.0,4.707838430751259,4.797279321541418,0.0,5.078448620798351,10.140606926210523,0.0,7.333440430314652,0.0,0.0,0.9,0.9666666666666668,0.6333333333333333,0.0
12.84256,80.15409,-33.25,-28.5,-84.0,-81.0,-89.0,-89.0,-25.206896551724142,-86.75,-86.125,-89.5,-91.5,-90.0,-92.0,-95.0,-90.0,-95.0,-95.0,-120.0,-86,-95.0,-83.0,-28.206896551724142,-120.0,-5.864532019704427,-91.79310344827586,-120.0,-87.28571428571429,-120.0,20.873563218390814,-120.0,2.0,-84.0,-120.0,-92.0,-98,-84.0,-120.0,-120.0,-31.07142857142857,-115.0,3.0,-8.125,-84.0,-120.0,-4.333333333333329,-4.75,11.241071428571429,-117.0,-78.0,-34.07142857142857,-85.92857142857143,-6.416666666666667,-110.0,28.0,-7.333333333333329,11.953703703703704,-96.0,-112.66666666666669,-120.0,29,4.0,-119.0,3.0,8.0,-20.0,-120.0,2.0,-120.0,1.0,-26.73809523809524,8.0,-115.0,7.0,2.8284271247461903,0.0,2.6457513110645907,0.0,2.7645717829090897,1.0,1.590990257669732,0.0,1.1065506608734033,0.7071067811865476,0.0,2.997022331772464,3.352326839390104,0.0,2.516611478423583,0.8779711460710616,0.0,3.2335220773377347,4.371020487920425,0.0,0.5677089459339594,0.0666666666666666,0.0,0.9333333333333332,0.9666666666666668,0.1,0.0
12.84251,80.15412,-29.8,-30.625,-88.0,-89.0,-84.0,-85.0,-29.86666666666666,-90.2,-89.0,-87.0,-89.375,-89.0,-92.0,-93.0,-90.0,-94.0,-93.0,-120.0,-82,-93.0,-91.0,-29.86666666666666,-120.0,-3.3666666666666742,-90.13333333333334,-120.0,-94.0,-120.0,22.36666666666666,-120.0,2.0,-85.0,-120.0,-97.0,-101,-85.0,-120.0,-120.0,-33.233333333333334,-120.0,0.0,-11.375,-85.0,-120.0,-7.5,0.8250000000000028,11.592592592592592,-120.0,-79.0,-33.233333333333334,-86.76666666666667,-8.0,-111.0,30.0,-7.5,11.663793103448276,-96.0,-112.5,-120.0,30,8.0,-120.0,2.0,5.0,-20.0,-120.0,4.0,-120.0,1.0,-25.73333333333333,1.0,-114.0,2.0,0.0,0.0,3.420004177106889,0.0,1.6431676725154984,1.0,0.1767766952966369,0.0,1.033450503420431,2.449489742783178,0.0,0.0,4.242640687119285,0.0,2.1213203435596424,0.7071067811865476,0.0,4.946146764511942,5.243605848922149,0.0,0.9939007344552768,0.0666666666666666,0.0,1.0,1.0,0.0666666666666666,0.0
