gps_coords,timestamp_ms,anchor,protocol,rssi,snr,seq
"12.842165,80.154194",275397,A3,LORA,-73,12.50,3767
"12.842165,80.154194",275770,A5,LORA,-118,-11.25,4703
"12.842165,80.154194",275900,A3,LORA,-74,13.75,3768
"12.842165,80.154194",276272,A5,LORA,-116,-9.00,4704
"12.842165,80.154194",276341,A3,WIFI,-82,0,6
"12.842165,80.154194",276341,A5,WIFI,-88,0,6
"12.842165,80.154194",276398,A3,LORA,-72,12.50,3769
"12.842165,80.154194",276598,A5,BLE,-88,0,11762
"12.842165,80.154194",276757,A3,BLE,-78,0,9424
"12.842165,80.154194",276771,A5,LORA,-115,-9.00,4705
"12.842165,80.154194",276899,A3,LORA,-74,12.75,3770
"12.842165,80.154194",277196,A4,LORA,-118,-11.50,3057
"12.842165,80.154194",277271,A5,LORA,-118,-12.00,4706
"12.842165,80.154194",277398,A3,LORA,-78,12.00,3771
"12.842165,80.154194",277697,A4,LORA,-118,-11.00,3058
"12.842165,80.154194",277771,A5,LORA,-116,-10.00,4707
"12.842165,80.154194",277901,A3,LORA,-73,12.25,3772
"12.842165,80.154194",277964,A3,WIFI,-75,0,6
"12.842165,80.154194",277964,A5,WIFI,-89,0,6
"12.842165,80.154194",277976,A3,BLE,-78,0,9430
"12.842165,80.154194",278273,A5,LORA,-119,-12.00,4708
"12.842165,80.154194",278399,A3,LORA,-73,12.25,3773
"12.842165,80.154194",278447,A5,BLE,-88,0,11771
"12.842165,80.154194",278900,A3,LORA,-73,12.25,3774
"12.842165,80.154194",279399,A3,LORA,-72,13.25,3775
"12.842165,80.154194",279587,A3,WIFI,-73,0,6
"12.842165,80.154194",279587,A5,WIFI,-90,0,6
"12.842165,80.154194",279617,A3,BLE,-73,0,9439
"12.842165,80.154194",279772,A5,LORA,-119,-12.25,4711
"12.842165,80.154194",279901,A3,LORA,-70,12.25,3776
"12.842165,80.154194",280400,A3,LORA,-73,12.50,3777
"12.842165,80.154194",280699,A4,LORA,-119,-12.25,3064
"12.842165,80.154194",280900,A5,BLE,-86,0,11781
"12.842165,80.154194",280901,A3,LORA,-84,11.00,3778
"12.842165,80.154194",281211,A3,WIFI,-76,0,6
"12.842165,80.154194",281254,A3,BLE,-73,0,9447
"12.842165,80.154194",281400,A3,LORA,-84,11.75,3779
"12.842165,80.154194",281698,A4,LORA,-118,-12.00,3066
"12.842165,80.154194",281903,A3,LORA,-90,10.25,3780
"12.842165,80.154194",282275,A5,LORA,-116,-11.00,4716
"12.842165,80.154194",282401,A3,LORA,-81,12.00,3781
"12.842165,80.154194",282774,A5,LORA,-111,-6.25,4717
"12.842165,80.154194",282835,A3,WIFI,-78,0,6
